strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	PubUse
SCPM-O-B-7005	2010	Dagestan	42.143189	47.09498	Third Pandemic	Unused
SCPM-O-B-7019	1980	Kyrgyzstan	41.20438	74.766098	Third Pandemic	Unused
SCPM-O-B-7037	1978	Dagestan	42.143189	47.09498	Third Pandemic	Unused
SCPM-O-B-7040	1988	Dagestan	42.143189	47.09498	Third Pandemic	Unused
SCPM-O-B-7042	1996	Dagestan	42.143189	47.09498	Third Pandemic	Unused
SCPM-O-B-7074	1980	Kyrgyzstan	41.20438	74.766098	Third Pandemic	Unused
SCPM-O-B-7075	2005	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	Unused
SCPM-O-B-7111	1997	Dagestan	42.143189	47.09498	Third Pandemic	Unused
SCPM-O-B-7469	1990	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	Unused
SCPM-O-B-7761	1983	Armenia	41.08854	45.34708	Third Pandemic	Unused
SCPM-O-B-7812	2002	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	Unused
SCPM-O-B-7832	1978	Armenia	41.08854	45.34708	Third Pandemic	Unused
SCPM-O-DNA-01	2001	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	Unused
SCPM-O-DNA-02	2001	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	Unused
SCPM-O-DNA-03	2001	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	Unused
SCPM-O-DNA-04	2001	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	Unused
SCPM-O-DNA-05	2007	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	Unused
SCPM-O-DNA-06	2007	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	Unused
SCPM-O-DNA-07	2007	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	Unused
SCPM-O-DNA-08	2007	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	Unused
SCPM-O-DNA-09	2007	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	Unused
SCPM-O-DNA-10	1977	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	Unused
SCPM-O-DNA-11	1984	Inner Mongolia	43.37822	115.059481	Third Pandemic	Unused
SCPM-O-DNA-12	1982	Inner Mongolia	43.37822	115.059481	Third Pandemic	Unused
SHAN11	2006	"Shaanxi, China"	37.6	107.59	Third Pandemic	Used
SHAN12	2006	"Shaanxi, China"	37.6	107.59	Third Pandemic	Used
Shasta	1954	USA: California	36.778261	-119.417932	Third Pandemic	Unused
UG05-0454	2004	Uganda	1.373333	32.290275	Third Pandemic	Used
V-6486	Missing	USA: NM	34.51994	-105.87009	Third Pandemic	Unused
YN1065	1954	"Yunnan, China"	26.53	99.88	Third Pandemic	Used
YN1683	1977	"Yunnan, China"	26.53	99.88	Third Pandemic	Used
YN2179	1995	Myanmar	21.916221	95.955974	Third Pandemic	Used
YN2551	2002	"Yunnan, China"	23.35	102.42	Third Pandemic	Used
YN2588	2000	"Guangxi, China"	24.8	105.34	Third Pandemic	Used
YN472	1957	"Yunnan, China"	26.53	99.88	Third Pandemic	Used
YN663	1982	"Yunnan, China"	24.33	97.96	Third Pandemic	Used
Yp1945	2009	USA: Texas	31.968599	-99.901813	Third Pandemic	Unused
Yp2126	2011	USA: Arizona	34.048928	-111.093731	Third Pandemic	Unused
Yp2856	2003	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp2871	2004	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp2872	2004	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp2905	2004	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp2947	2006	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp2963	2006	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp2979	2006	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp2983	2007	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp2988	2007	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp2991	2007	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3009	2007	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3010	2007	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3014	2007	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3016	2007	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3017	2007	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3019	2008	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3023	2008	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3026	2008	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3034	2008	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3041	2009	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3042	2009	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3043	2009	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3044	2009	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3045	2009	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3048	2009	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3050	2010	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3059	2011	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3069	2011	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3078	2011	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3079	2012	Madagascar	-18.46	46.52	Third Pandemic	Unused
Yp3083	2012	Madagascar	-18.46	46.52	Third Pandemic	Unused
Z176003	1976	China: Naqu (Tibet) County	31.476202	92.051239	Third Pandemic	Unused
ZE94-2122	1994	Zimbabwe	-19.015438	29.154857	Third Pandemic	Unused
