strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	PubUse
5761	1956	"St.Petersberg, Russia"	59.93428	30.335099	Third Pandemic	Used
7338	1973	"Xinjiang, China"	37.12	79.94	Third Pandemic	Used
8787	1992	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	Used
14735	1975	Georgia	41.267146	43.587667	Third Pandemic	Used
30017	1976	"Tibet, China"	31.47	92.1	Third Pandemic	Used
34008	1968	"Tibet, China"	29.66	84.15	Third Pandemic	Used
34202	1990	"Tibet, China"	30.37	81.18	Third Pandemic	Used
42013	1971	"Xinjiang, China"	44.45	84.62	Third Pandemic	Used
42082	1995	"Xinjiang, China"	44.45	84.62	Third Pandemic	Used
42091	1999	"Xinjiang, China"	44.45	84.62	Third Pandemic	Used
42095	2001	"Xinjiang, China"	44.45	84.62	Third Pandemic	Used
71021	1989	"Gansu, China"	38.46	94.25	Third Pandemic	Used
90953	2009	"China, Xinghai"	35.588612	99.987965	Third Pandemic	Unused
90954	2009	"China, Xinghai"	35.588612	99.987965	Third Pandemic	Unused
90955	2009	"China, Xinghai"	35.588612	99.987965	Third Pandemic	Unused
90958	2009	"China, Xinghai"	35.588612	99.987965	Third Pandemic	Unused
90959	2009	"China, Xinghai"	35.588612	99.987965	Third Pandemic	Unused
91001	1970	"Inner Mongolia, China"	44.03	114.97	Third Pandemic	Used
351001	1996	"Tibet, China"	29.39	90.7	Third Pandemic	Used
620024	1962	"Qinghai, China"	35.6	99.99	Third Pandemic	Used
710317	1971	"Qinghai, China"	36.72	101.28	Third Pandemic	Used
780441	1978	"Qinghai, China"	34.92	98.26	Third Pandemic	Used
970754	1997	"Qinghai, China"	32.23	96.47	Third Pandemic	Used
8607116	Missing	USA: NM	34.51994	-105.87009	Third Pandemic	Unused
090952a	2009	"China, Xinghai"	35.588612	99.987965	Third Pandemic	Unused
090952b	2009	"China, Xinghai"	35.588612	99.987965	Third Pandemic	Unused
1116-D	1971	"Russia: Republic Ingushetia, Malgobek district"	43.405649	44.685555	Third Pandemic	Unused
125 B plague Bombay	Missing	India: Mumbai	19.075984	72.877656	Third Pandemic	Unused
1343UnTal85	-2253	"Germany, Augsburg"	48.370545	10.89779	Stone Age/Bronze Age	Used
154/98 B	1998	"Mahajanga, Madagascar"	-15.71171171	46.31395349	Third Pandemic	Unused
