strain	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	doogal_address	doogal_lat	doogal_long	consensus_lat	consensus_lon
I1991001	1991	"Inner Mongolia, China"	41.55	108.52		"Inner Mongolia, China"	43.37822	115.059481	41.55	108.52
12	2004	"Qinghai, China"	38.2	100.22		"Qinghai, China"	35.744798	96.407736	38.2	100.22
5761	1956	"St.Petersberg, Russia"	NA	NA		"St.Petersberg, Russia"	59.93428	30.335099	59.93428	30.335099
164	1985	"Xinjiang, China"	39	88.1		"Xinjiang, China"	42.524636	87.539585	39	88.1
2	2004	"Qinghai, China"	32.23	96.47		"Qinghai, China"	35.744798	96.407736	32.23	96.47
2330	2003	"Xinjiang, China"	44.95	81.08		"Xinjiang, China"	42.524636	87.539585	44.95	81.08
2504	2005	"Xinjiang, China"	44.02	88.11		"Xinjiang, China"	42.524636	87.539585	44.02	88.11
2506	2005	"Xinjiang, China"	44.02	88.11		"Xinjiang, China"	42.524636	87.539585	44.02	88.11
2654	2006	"Xinjiang, China"	44.02	88.11		"Xinjiang, China"	42.524636	87.539585	44.02	88.11
30017	1976	"Tibet, China"	31.47	92.1		"Tibet, China"	30.153361	88.787868	31.47	92.1
735	1965	"St. Petersberg, Russia"	NA	NA		"St. Petersberg, Russia"	59.93428	30.335099	59.93428	30.335099
34008	1968	"Tibet, China"	29.66	84.15		"Tibet, China"	30.153361	88.787868	29.66	84.15
34202	1990	"Tibet, China"	30.37	81.18		"Tibet, China"	30.153361	88.787868	30.37	81.18
351001	1996	"Tibet, China"	29.39	90.7		"Tibet, China"	30.153361	88.787868	29.39	90.7
G1996010	1996	"Tibet, China"	28.46	92.42		"Tibet, China"	30.153361	88.787868	28.46	92.42
G1996006	1996	"Tibet, China"	27.98	91.91		"Tibet, China"	30.153361	88.787868	27.98	91.91
A1973001	1973	"Xinjiang, China"	39.7	75.18		"Xinjiang, China"	42.524636	87.539585	39.7	75.18
