strain	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	doogal_address	doogal_lat	doogal_long	consensus_lat	consensus_lon
Nepal516	1967	Nepal	NA	NA		Nepal	28.394857	84.124008	28.394857	84.124008
Pestoides F	<1984	Armenia	NA	NA		Armenia	40.069099	45.038189	40.069099	45.038189
EV NIIEG	1941	Russia				Russia	61.52401	105.318756	61.52401	105.318756
91001	1970	"Inner Mongolia, China"	44.03	114.97		"Inner Mongolia, China"	43.37822	115.059481	44.03	114.97
Harbin 35	1940	China: Manchuria				China: Manchuria	45.323359	124.490099	45.323359	124.490099
A1122	1939	USA: California				USA: California	36.778261	-119.417932	36.778261	-119.417932
D106004	2006	China: Yulong County				China: Yulong County	26.821459	100.236954	26.821459	100.236954
D182038	1982	China: Jianchuan County				China: Jianchuan County	26.537033	99.905559	26.537033	99.905559
Z176003	1976	China: Naqu (Tibet) County				China: Naqu (Tibet) County	31.476202	92.051239	31.476202	92.051239
KIM10+	1968 (+LAB PASSAGES)	Iran/Kurdistan				Iran/Kurdistan	35.955358	47.136213	35.955358	47.136213
5001	1956	"China, Xinghai"				"China, Xinghai"	35.588612	99.987965	35.588612	99.987965
5006	1960	"China, Xinghai"				"China, Xinghai"	35.588612	99.987965	35.588612	99.987965
5008	1960	"China, Xinghai"				"China, Xinghai"	35.588612	99.987965	35.588612	99.987965
090952a	7/30/2009	"China, Xinghai"				"China, Xinghai"	35.588612	99.987965	35.588612	99.987965
090952b	7/31/2009	"China, Xinghai"				"China, Xinghai"	35.588612	99.987965	35.588612	99.987965
90953	7/31/2009	"China, Xinghai"				"China, Xinghai"	35.588612	99.987965	35.588612	99.987965
90954	7/30/2009	"China, Xinghai"				"China, Xinghai"	35.588612	99.987965	35.588612	99.987965
90955	7/26/2009	"China, Xinghai"				"China, Xinghai"	35.588612	99.987965	35.588612	99.987965
90958	8/5/2009	"China, Xinghai"				"China, Xinghai"	35.588612	99.987965	35.588612	99.987965
90959	8/5/2009	"China, Xinghai"				"China, Xinghai"	35.588612	99.987965	35.588612	99.987965
771	1966	Georgia: Dedophlistskaro				Georgia: Dedophlistskaro	41.467225	46.117522	41.467225	46.117522
790	1961	Kyrgyzia				Kyrgyzia	41.20438	74.766098	41.20438	74.766098
231(708)	1947	Kyrgyzstan				Kyrgyzstan	41.20438	74.766098	41.20438	74.766098
ZE94-2122	1994	Zimbabwe			Missing	Zimbabwe	-19.015438	29.154857	-19.015438	29.154857
PBM19	Unknown	Unknown				Unknown	41.626271	-79.673584	41.626271	-79.673584
Shasta	1954	USA: California				USA: California	36.778261	-119.417932	36.778261	-119.417932
El Dorado	2002	USA: NY: New York			Unknown	USA: NY: New York	40.712775	-74.005973	40.712775	-74.005973
KIM5	2007	USA: Kentucky				USA: Kentucky	37.839333	-84.270018	37.839333	-84.270018
Dodson	1967	"USA: Tuba City, AZ"				"USA: Tuba City, AZ"	36.134993	-111.239863	36.134993	-111.239863
Pestoides G	<1984	USSR				USSR	41.117269	-73.414394	41.117269	-73.414394
Java9	unknown	Indonesia				Indonesia	-0.789275	113.921327	-0.789275	113.921327
Nicholisk 41	2008	China: Manchuria				China: Manchuria	45.323359	124.490099	45.323359	124.490099
Pestoides B	<1984	Altai Mountains				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
Nairobi	1985	Kenya: Nairobi				Kenya: Nairobi	-1.292066	36.821946	-1.292066	36.821946
SCPM-O-B-6706	24-Mar-86	"Mongolia, Bayan-Ulgii"				"Mongolia, Bayan-Ulgii"	48.398325	89.662591	48.398325	89.662591
SCPM-O-B-6906	27-Jun-74	"Mongolia, Bayan-Ulgii"				"Mongolia, Bayan-Ulgii"	48.398325	89.662591	48.398325	89.662591
SCPM-O-B-7005	26-Jun-10	Dagestan				Dagestan	42.143189	47.09498	42.143189	47.09498
SCPM-O-B-7761	22-Oct-83	Armenia				Armenia/Azerbaijan/Georgia	41.08854	45.34708	41.08854	45.34708
SCPM-O-B-6986	10-Nov-69	Armenia				Armenia/Azerbaijan/Georgia	41.08854	45.34708	41.08854	45.34708
125 B plague Bombay	Missing	India: Mumbai			Missing	India: Mumbai	19.075984	72.877656	19.075984	72.877656
1412	1979	Georgia: Dalidag				Georgia: Dalidag	33.753068	-84.385282	33.753068	-84.385282
1522	1975	Armenia: Shirak Province				Armenia: Shirak Province	40.963081	43.810246	40.963081	43.810246
1413	1979	Georgia: Ninotsminda				Georgia: Ninotsminda	41.27137	43.587939	41.27137	43.587939
EV76D	1922 (+LAB PASSAGES)	Madagascar				Madgascar	-18.843222	47.469747	-18.843222	47.469747
SCPM-O-B-6706	24-Mar-86	"Mongolia, Bayan-Ulgii"				"Mongolia, Bayan-Ulgii"	48.398325	89.662591	48.398325	89.662591
SCPM-O-B-6904	13-Jun-84	Armenia				Armenia/Azerbaijan/Georgia	41.08854	45.34708	41.08854	45.34708
SCPM-O-B-6216	20-May-84	"Mongolia, Hongor Hudag, Bayan"				mongolia hongor	49.310752	105.922421	49.310752	105.922421
SCPM-O-B-6304	13-Sep-79	Tajikistan				Tajikistan/Uzbekistan	41.281671	69.262552	41.281671	69.262552
SCPM-O-B-7074	06-Sep-80	Kyrgyzstan				Kyrgyzstan	41.20438	74.766098	41.20438	74.766098
SCPM-O-B-6990	04-Aug-71	Armenia				Armenia/Azerbaijan/Georgia	41.08854	45.34708	41.08854	45.34708
SCPM-O-B-7812	21-Sep-02	"Russia, Altai Mountains"				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
SCPM-O-B-7019	28-Aug-80	Kyrgyzstan				Kyrgyzstan	41.20438	74.766098	41.20438	74.766098
SCPM-O-B-6974	08-Dec-67	Armenia				Armenia/Azerbaijan/Georgia	41.08854	45.34708	41.08854	45.34708
SCPM-O-B-6757	12-Sep-68	Armenia				Armenia/Azerbaijan/Georgia	41.08854	45.34708	41.08854	45.34708
SCPM-O-B-6984	03-Jul-69	Armenia				Armenia/Azerbaijan/Georgia	41.08854	45.34708	41.08854	45.34708
SCPM-O-B-7075	27-Jun-61	"Russia, Altai Mountains"				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
SCPM-O-B-7832	09-Nov-78	Armenia				Armenia/Azerbaijan/Georgia	41.08854	45.34708	41.08854	45.34708
SCPM-O-B-6300	19-Aug-71	Armenia				Armenia/Azerbaijan/Georgia	41.08854	45.34708	41.08854	45.34708
SCPM-O-B-6213	22-Aug-72	"Mongolia, Bayan-Ulgii"				"Mongolia, Bayan-Ulgii"	48.398325	89.662591	48.398325	89.662591
SCPM-O-B-6536	25-Oct-76	Armenia				Armenia/Azerbaijan/Georgia	41.08854	45.34708	41.08854	45.34708
SCPM-O-B-6540	10-Feb-89	Armenia				Armenia/Azerbaijan/Georgia	41.08854	45.34708	41.08854	45.34708
SCPM-O-B-6906	27-Jun-74	"Mongolia, Bayan-Ulgii"				"Mongolia, Bayan-Ulgii"	48.398325	89.662591	48.398325	89.662591
2944	1975	Russia: Kabardino-Balkaria				Russia: Kabardino-Balkaria	43.393247	43.56285	43.393247	43.56285
1670	1979	Georgia: Ninotsminda				Georgia: Ninotsminda	41.27137	43.587939	41.27137	43.587939
14735	1975	Georgia				Armenia/Georgia: Ninotsminda	41.267146	43.587667	41.267146	43.587667
8787	1992	Georgia: Ninotsminda				Georgia: Ninotsminda	41.27137	43.587939	41.27137	43.587939
3770	1983	Georgia: Ninotsminda				Georgia: Ninotsminda	41.27137	43.587939	41.27137	43.587939
3067	1982	Georgia: Ninotsminda				Georgia: Ninotsminda	41.27137	43.587939	41.27137	43.587939
1045	1976	Azerbaijan: Apsheron Peninsula				Azerbaijan: Apsheron Peninsula	40.463667	49.957581	40.463667	49.957581
Yp1945	2009	USA: Texas			Unknown	USA: Texas	31.968599	-99.901813	31.968599	-99.901813
Yp2126	2011	USA: Arizona			Unknown	USA: Arizona	34.048928	-111.093731	34.048928	-111.093731
M-1864	2009	"Russia: Kalmykia, Lagansky District"			45.217463 N 47.06267700000001 E	"Russia: Kalmykia, Lagansky District"	45.214778	47.060418	45.217463	47.062677
KM918	1989	"Russia: Kabardino-Balkaria, Gizhgit Natural Boundary"			43.47001 N 42.992790000000014 E	Russia: Kabardino-Balkaria	43.393247	43.56285	43.47001	42.99279
C741	1999	"Russia: Dagestan, Kulinsky district"			41.942454 N 47.309124 E	"Russia: Dagestan, Kulinsky district"	42.008742	47.262584	41.942454	47.309124
A-1815	1980	Kyrgyzstan: Talas district			42.469232 N 72.24286600000005 E	Kyrgyzstan: Talas district	42.286734	72.520483	42.46923	72.242866
I1996	1980	Russia: Zabaicalskiy krai			50.609718 N 115.708895 E	Russia: Zabaicalskiy krai	53.092877	116.967656	50.609718	115.708895
1116-D	1971	"Russia: Republic Ingushetia, Malgobek district"			43.405649 N 44.68555500000002 E	"Russia: Republic Ingushetia, Malgobek district"	43.505394	44.583491	43.405649	44.685555
M-978	1990	"Russia: Republic of Kalmykia, Ketchenerovsky District"			47.10023 N 45.707251999999926 E	"Russia: Republic of Kalmykia, Ketchenerovsky District"	47.153789	45	47.10023	45.707252
KM-816	1990	Turkmenistan: Balkany			41.000137 N 55.666886999999974 E	Turkmenistan: Balkany	40.946888	54.495243	41.000137	55.666887
C-791	2003	Dagestan			missing	Dagestan	42.143189	47.09498	42.143189	47.09498
M-1484	1992	Russia			missing	Russia	61.52401	105.318756	61.52401	105.318756
M-1763	2002	"Russia: Astrakhan region, Krasnoyarsk District"			missing	Russia: Astrakhan region	46.358805	48.059935	46.358805	48.059935
M-519	1967	Turkmenistan: Kizyl-Atrek Region			missing	Turkmenistan: Kizyl-Atrek Region	37.616089	54.769131	37.616089	54.769131
M-549	1977	Turkmenistan: Krasnovodsk Region			41.679476 N 54.966508999999974 E	Turkmenistan: Krasnovodsk Region	40.033659	52.97593	41.679476	54.966509
M-1453	1991	"Kazakhstan: Guryev region, Makhambet district"			47.636863 N 51.70316200000002 E	Kazakhstan: Guryev region	47.094496	51.923837	47.636863	51.703162
SCPM-O-B-7111	12-Jun-97	Dagestan				Dagestan	42.143189	47.09498	42.143189	47.09498
SCPM-O-B-6994	08-Jun-98	Dagestan				Dagestan	42.143189	47.09498	42.143189	47.09498
SCPM-O-B-7469	31-May-90	"Russia, Altai Mountains"				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
SCPM-O-B-4470	18-Apr-70	Tajikistan				Tajikistan	38.861034	71.276093	38.861034	71.276093
SCPM-O-B-7042	10-Jun-96	Dagestan				Dagestan	42.143189	47.09498	42.143189	47.09498
A-1809	8/28/1980	"Kyrgyzstan: Range of Tien Shan Mountain System, Karagaily Area"			Missing	Kyrgyzstan: Tien Shan Mountain	42.086662	79.245071	42.086662	79.245071
A-1249	4/18/1970	Tajikistan: Sogdiyskaya Region			Missing	Takijistan	38.861034	71.276093	38.861034	71.276093
A-1486	11/25/1966	"Kyrgyzstan: Oshskaya Region, Alayskiy District"			Missing	Kyrgyzstan: Oshskaya Region	39.840737	72.898807	39.840737	72.898807
A-1691	7/20/1971	Kyrgyzstan			Missing	Kyrgyzstan	41.20438	74.766098	41.20438	74.766098
A-1836	3/20/1983	Kyrgyzstan: Issyk-Kul'skaya region			Missing	Kyrgyzstan: Issyk-Kul'skaya region	42.185943	77.561942	42.185943	77.561942
Cadman	06-Jun-16	"USA: Gallup, NM"			missing	"USA: Gallup, NM"	35.528078	-108.742584	35.528078	-108.742584
SCPM-O-B-7037	12-Jun-78	Dagestan				Dagestan	42.143189	47.09498	42.143189	47.09498
SCPM-O-B-6176	28-Aug-84	Dagestan				Dagestan	42.143189	47.09498	42.143189	47.09498
SCPM-O-B-7040	31-Jul-88	Dagestan				Dagestan	42.143189	47.09498	42.143189	47.09498
SCPM-O-B-6992	31-Jul-95	Dagestan				Dagestan	42.143189	47.09498	42.143189	47.09498
SCPM-O-B-6983	16-Jun-69	Armenia				Armenia	40.069099	45.038189	40.069099	45.038189
SCPM-O-B-4664	06-Sep-80	Kyrgyzstan				Kyrgyzstan	41.20438	74.766098	41.20438	74.766098
SCPM-O-DNA-01	05-Oct-01	"Russia, Altai Mountains"				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
SCPM-O-DNA-02	05-Oct-01	"Russia, Altai Mountains"				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
SCPM-O-DNA-03	04-Oct-01	"Russia, Altai Mountains"				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
SCPM-O-DNA-04	04-Oct-01	"Russia, Altai Mountains"				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
SCPM-O-DNA-05	28-Apr-07	"Russia, Altai Mountains"				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
SCPM-O-DNA-06	23-Sep-07	"Russia, Altai Mountains"				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
SCPM-O-DNA-07	06-Sep-07	"Russia, Altai Mountains"				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
SCPM-O-DNA-08	12-Oct-07	"Russia, Altai Mountains"				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
SCPM-O-DNA-09	15-Oct-07	"Russia, Altai Mountains"				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
SCPM-O-DNA-10	Jun-77	"Russia, Altai Mountains"				"Russia, Altai Mountains"	49.68891	86.079515	49.68891	86.079515
SCPM-O-DNA-11	19-May-84	Inner Mongolia				Inner Mongolia	43.37822	115.059481	43.37822	115.059481
SCPM-O-DNA-12	02-Jun-82	Inner Mongolia				Inner Mongolia	43.37822	115.059481	43.37822	115.059481
Yp3009	2007	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp2979	2006	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3026	2008	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3016	2007	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3042	2009	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3078	2011	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp2963	2006	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3043	2009	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3019	2008	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3017	2007	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp2856	2003	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp2905	2004	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3010	2007	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3069	2011	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3048	2009	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp2871	2004	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp2983	2007	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3041	2009	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp2988	2007	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp2947	2006	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3014	2007	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3034	2008	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3079	2012	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp2872	2004	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp2991	2007	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3050	2010	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3059	2011	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3083	2012	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3023	2008	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3044	2009	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
Yp3045	2009	Madagascar			18.46 S 46.52 E	Madagascar	-18.766947	46.869107	-18.46	46.52
195/P	1898-1950	India				India	20.593684	78.96288	20.593684	78.96288
RISE00	-2462	"Estonia, Sope"	59.408	27.026						
RISE139	-2029	"Poland, Chociwel"	50.796	17.094						
RISE386	-2163.5	"Russia, Bulanovo"	52.453	55.16						
RISE397	-966.5	"Armenia, Kapan"	39.2	46.4						
RISE505	-1686	"Russia, Kytmanovo"	53.456	85.447						
RISE509	-2782	"Russia, Afanasievo Gora"	54.584	90.775						
RISE511	-2794	"Russia, Afanasievo Gora"	54.584	90.775						
