strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	Established	count_match	
SCPM-O-B-6216	1984	"Mongolia, Hongor Hudag, Bayan"	49.310752	105.922421	Third Pandemic	No	1	0
SCPM-O-B-6300	1971	Armenia	41.08854	45.34708	Third Pandemic	No	11	0
SCPM-O-B-6304	1979	Tajikistan	41.281671	69.262552	Third Pandemic	No	1	0
SCPM-O-B-6536	1976	Armenia	41.08854	45.34708	Third Pandemic	No	11	0
SCPM-O-B-6540	1989	Armenia	41.08854	45.34708	Third Pandemic	No	11	0
SCPM-O-B-6706	1986	"Mongolia, Bayan-Ulgii"	48.398325	89.662591	Third Pandemic	No	5	0
SCPM-O-B-6706	1986	"Mongolia, Bayan-Ulgii"	48.398325	89.662591	Third Pandemic	No	5	0
SCPM-O-B-6757	1968	Armenia	41.08854	45.34708	Third Pandemic	No	11	0
SCPM-O-B-6904	1984	Armenia	41.08854	45.34708	Third Pandemic	No	11	0
SCPM-O-B-6906	1974	"Mongolia, Bayan-Ulgii"	48.398325	89.662591	Third Pandemic	No	5	0
SCPM-O-B-6906	1974	"Mongolia, Bayan-Ulgii"	48.398325	89.662591	Third Pandemic	No	5	0
SCPM-O-B-6974	2005	Armenia	41.08854	45.34708	Third Pandemic	No	11	0
SCPM-O-B-6983	1969	Armenia	40.069099	45.038189	Third Pandemic	No	2	0
SCPM-O-B-6984	1969	Armenia	41.08854	45.34708	Third Pandemic	No	11	0
SCPM-O-B-6986	1970	Armenia	41.08854	45.34708	Third Pandemic	No	11	0
SCPM-O-B-6990	1971	Armenia	41.08854	45.34708	Third Pandemic	No	11	0
SCPM-O-B-6992	1995	Dagestan	42.143189	47.09498	Third Pandemic	No	9	0
SCPM-O-B-6994	1998	Dagestan	42.143189	47.09498	Third Pandemic	No	9	0
SCPM-O-B-7005	2010	Dagestan	42.143189	47.09498	Third Pandemic	No	9	0
SCPM-O-B-7019	1980	Kyrgyzstan	41.20438	74.766098	Third Pandemic	No	6	0
SCPM-O-B-7037	1978	Dagestan	42.143189	47.09498	Third Pandemic	No	9	0
SCPM-O-B-7040	1988	Dagestan	42.143189	47.09498	Third Pandemic	No	9	0
SCPM-O-B-7042	1996	Dagestan	42.143189	47.09498	Third Pandemic	No	9	0
SCPM-O-B-7074	1980	Kyrgyzstan	41.20438	74.766098	Third Pandemic	No	6	0
SCPM-O-B-7075	2005	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	No	14	0
SCPM-O-B-7111	1997	Dagestan	42.143189	47.09498	Third Pandemic	No	9	0
SCPM-O-B-7469	1990	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	No	14	0
SCPM-O-B-7761	1983	Armenia	41.08854	45.34708	Third Pandemic	No	11	0
SCPM-O-B-7812	2002	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	No	14	0
SCPM-O-B-7832	1978	Armenia	41.08854	45.34708	Third Pandemic	No	11	0
SCPM-O-DNA-01	2001	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	No	14	0
SCPM-O-DNA-02	2001	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	No	14	0
SCPM-O-DNA-03	2001	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	No	14	0
SCPM-O-DNA-04	2001	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	No	14	0
SCPM-O-DNA-05	2007	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	No	14	0
SCPM-O-DNA-06	2007	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	No	14	0
SCPM-O-DNA-07	2007	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	No	14	0
SCPM-O-DNA-08	2007	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	No	14	0
SCPM-O-DNA-09	2007	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	No	14	0
SCPM-O-DNA-10	1977	"Russia, Altai Mountains"	49.68891	86.079515	Third Pandemic	No	14	0
SCPM-O-DNA-11	1984	Inner Mongolia	43.37822	115.059481	Third Pandemic	No	2	0
SCPM-O-DNA-12	1982	Inner Mongolia	43.37822	115.059481	Third Pandemic	No	2	0
SHAN11	2006	"Shaanxi, China"	37.6	107.59	Third Pandemic	Yes	3	1
SHAN12	2006	"Shaanxi, China"	37.6	107.59	Third Pandemic	Yes	3	1
Shasta	1954	USA: California	36.778261	-119.417932	Third Pandemic	No	3	0
UG05-0454	2004	Uganda	1.373333	32.290275	Third Pandemic	Yes	1	1
V-6486	Missing	USA: NM	34.51994	-105.87009	Third Pandemic	No	13	0
YN1065	1954	"Yunnan, China"	26.53	99.88	Third Pandemic	Yes	7	1
YN1683	1977	"Yunnan, China"	26.53	99.88	Third Pandemic	Yes	7	1
YN2179	1995	Myanmar	21.916221	95.955974	Third Pandemic	Yes	1	1
YN2551	2002	"Yunnan, China"	23.35	102.42	Third Pandemic	Yes	1	1
YN2588	2000	"Guangxi, China"	24.8	105.34	Third Pandemic	Yes	1	1
YN472	1957	"Yunnan, China"	26.53	99.88	Third Pandemic	Yes	7	1
YN663	1982	"Yunnan, China"	24.33	97.96	Third Pandemic	Yes	1	1
Yp1945	2009	USA: Texas	31.968599	-99.901813	Third Pandemic	No	1	0
Yp2126	2011	USA: Arizona	34.048928	-111.093731	Third Pandemic	No	1	0
Yp2856	2003	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp2871	2004	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp2872	2004	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp2905	2004	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp2947	2006	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp2963	2006	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp2979	2006	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp2983	2007	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp2988	2007	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp2991	2007	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3009	2007	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3010	2007	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3014	2007	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3016	2007	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3017	2007	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3019	2008	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3023	2008	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3026	2008	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3034	2008	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3041	2009	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3042	2009	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3043	2009	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3044	2009	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3045	2009	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3048	2009	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3050	2010	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3059	2011	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3069	2011	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3078	2011	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3079	2012	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Yp3083	2012	Madagascar	-18.46	46.52	Third Pandemic	No	31	0
Z176003	1976	China: Naqu (Tibet) County	31.476202	92.051239	Third Pandemic	No	1	0
ZE94-2122	1994	Zimbabwe	-19.015438	29.154857	Third Pandemic	No	1	
