strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	Established	count_match	
CMCC348002	1998	"Tibet, China"	29.71	89.02	Third Pandemic	Yes	1	1
CMCC38001	1979	"Xinjiang, China"	39.73	76.12	Third Pandemic	Yes	1	1
CMCC42007	1967	"Xinjiang, China"	44.45	84.62	Third Pandemic	Yes	5	1
CMCC43032	1980	"Xinjiang, China"	44.18	86.92	Third Pandemic	Yes	1	1
CMCC49003	1976	"Xinjiang, China"	43.82	82.53	Third Pandemic	Yes	1	1
CMCC51020	1954	"Jilin, China"	44.3	123.97	Third Pandemic	Yes	1	1
CMCC64001	1957	"Inner Mongolia, China"	45.05	121.47	Third Pandemic	Yes	1	1
CMCC640047	1964	"Qinghai, China"	36.27	100.61	Third Pandemic	Yes	1	1
CMCC67001	1959	"Inner Mongolia, China"	42.97	122.35	Third Pandemic	Yes	1	1
CMCC71001	1961	"Gansu, China"	38.46	94.25	Third Pandemic	Yes	3	1
CMCC8211	1982	"Xinjiang, China"	44.67	82.92	Third Pandemic	Yes	1	1
CMCC84033	1979	"Yunnan, China"	26.53	99.88	Third Pandemic	Yes	7	1
CMCC84038	1982	"Yunnan, China"	26.53	99.88	Third Pandemic	Yes	7	1
CMCC84046	1984	"Yunnan, China"	26.53	99.88	Third Pandemic	Yes	7	1
CMCC87001	1982	"Yunnan, China"	24	97.83	Third Pandemic	Yes	1	1
CMCC90027	1970	"Inner Mongolia, China"	43.85	113.7	Third Pandemic	Yes	1	1
CMCC91090	1970	"Inner Mongolia, China"	44.03	114.97	Third Pandemic	Yes	2	1
CMCC92004	1957	"Inner Mongolia, China"	42.47	112.95	Third Pandemic	Yes	2	1
CMCC92010	1971	"Inner Mongolia, China"	42.47	112.95	Third Pandemic	Yes	2	1
CMCC93014	1970	"Inner Mongolia, China"	43.95	116.08	Third Pandemic	Yes	1	1
CMCC95001	1970	"Inner Mongolia, China"	42.32	115	Third Pandemic	Yes	1	1
CMCC96001	1957	"Inner Mongolia, China"	42.25	116.02	Third Pandemic	Yes	2	1
CMCC96007	1989	"Inner Mongolia, China"	42.25	116.02	Third Pandemic	Yes	2	1
CMCC99103	1970	"Inner Mongolia, China"	39.12	107.97	Third Pandemic	Yes	2	1
CMCCK100001	1991	"Yunnan, China"	24.08	98.08	Third Pandemic	Yes	1	1
CMCCK110001	1991	"Yunnan, China"	23.92	99.02	Third Pandemic	Yes	1	1
CMCCN010025	2000	"Sichuan, China"	33.01	98.06	Third Pandemic	Yes	1	1
CO92	1992	"Colorado, USA"	39.550051	-105.782067	Third Pandemic	Yes	1	1
D106004	2006	China: Yulong County	26.821459	100.236954	Third Pandemic	No	1	0
