strain	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	lon	lat	geoAddress
Gyvakarai1	-2535	"Lithuania, Gyvakarai"	NA	NA		24.890069	55.913699	gyvakarai, lithuania
KunilaII	-2477	"Estonia, Kunila"	NA	NA		23.82755	58.6195329	kunila, 90222 lääne county, estonia
Post6	-1923	"Germany, Augsburg"	NA	NA		10.89779	48.3705449	augsburg, germany
1343UnTal85	-2253	"Germany, Augsburg"	NA	NA		10.89779	48.3705449	augsburg, germany
GEN72	-2771	"Croatia, Beli Manastir"	NA	NA		18.6107524	45.7728664	beli manastir, croatia
RK1001	-2770	"Russia, Rasshevatskaya"	NA	NA		41.030903	45.5695819	rasshevatskaya, stavropol krai, russia, 356012
CO92	1992	"Colorado, USA"	NA	NA		-105.7820674	39.5500507	colorado, usa
Algeria 3	2015	"Algeria, Chott el Hodna"	NA	NA		4.6037231	35.4344908	chott el hodna, algeria
OBS107	1720-1722	"France, Marseille"	NA	NA		5.36978	43.296482	marseille, france
OBS110	1720-1722	"France, Marseille"	NA	NA		5.36978	43.296482	marseille, france
OBS116	1720-1722	"France, Marseille"	NA	NA		5.36978	43.296482	marseille, france
OBS124	1720-1722	"France, Marseille"	NA	NA		5.36978	43.296482	marseille, france
OBS137	1720-1722	"France, Marseille"	NA	NA		5.36978	43.296482	marseille, france
Barcelona3031	1300-1420	"Spain, Barcelona"	NA	NA		2.1734035	41.3850639	barcelona, spain
BolgarCity2370	1298-1388	"Russia, Bolgar City"	NA	NA		49.0342414	54.9670821	bolgar, tatarstan, russia, 422840
Ellwangen549_O	1485-1627	"Germany, Ellwangen"	NA	NA		10.1301513	48.9626833	73479 ellwangen, germany
AE1175	428-571	"Germany, Altenerding"	NA	NA		11.9048536	48.2884527	altenerding, 85435 erding, germany
IP674	1952	Turkey	NA	NA		35.243322	38.963745	turkey
I1991001	1991	"Inner Mongolia, China"	41.55	108.52		115.0594815	43.37822	inner mongolia, china
12	2004	"Qinghai, China"	38.2	100.22		96.4077358	35.744798	qinghai, china
5761	1956	"St.Petersbg, Russia"	NA	NA		30.3350986	59.9342802	st petersburg, russia
164	1985	"Xinjiang, China"	39	88.1		87.5395855	42.5246357	xinjiang, china
2	2004	"Qinghai, China"	32.23	96.47		96.4077358	35.744798	qinghai, china
2330	2003	"Xinjiang, China"	44.95	81.08		87.5395855	42.5246357	xinjiang, china
2504	2005	"Xinjiang, China"	44.02	88.11		87.5395855	42.5246357	xinjiang, china
2506	2005	"Xinjiang, China"	44.02	88.11		87.5395855	42.5246357	xinjiang, china
2654	2006	"Xinjiang, China"	44.02	88.11		87.5395855	42.5246357	xinjiang, china
30017	1976	"Tibet, China"	31.47	92.1		88.7878678	30.1533605	tibet, china
735	1965	"St. Petersberg, Russia"	NA	NA		30.3350986	59.9342802	st petersburg, russia
34008	1968	"Tibet, China"	29.66	84.15		88.7878678	30.1533605	tibet, china
34202	1990	"Tibet, China"	30.37	81.18		88.7878678	30.1533605	tibet, china
351001	1996	"Tibet, China"	29.39	90.7		88.7878678	30.1533605	tibet, china
G1996010	1996	"Tibet, China"	28.46	92.42		88.7878678	30.1533605	tibet, china
G1996006	1996	"Tibet, China"	27.98	91.91		88.7878678	30.1533605	tibet, china
A1973001	1973	"Xinjiang, China"	39.7	75.18		NA	NA	NA
42013	1971	"Xinjiang, China"	44.45	84.62		84.62	NA	NA
42082	1995	"Xinjiang, China"	44.45	84.62		84.62	NA	NA
42091	1999	"Xinjiang, China"	44.45	84.62		84.62	NA	NA
42095	2001	"Xinjiang, China"	44.45	84.62		84.62	NA	NA
H1959004	1959	"Jilin, China"	45.2	124.82		124.82	NA	NA
5	2004	"Qinghai, China"	36.9	98.46		98.46	NA	NA
620024	1962	"Qinghai, China"	35.6	99.99		99.99	NA	NA
D1964001	1964	"Qinghai, China"	37.37	101.62		101.62	NA	NA
C1976001	1976	"Gansu, China"	38.46	94.25		94.25	NA	NA
71021	1989	"Gansu, China"	38.46	94.25		94.25	NA	NA
710317	1971	"Qinghai, China"	36.72	101.28		101.28	NA	NA
7338	1973	"Xinjiang, China"	37.12	79.94		79.94	NA	NA
D1982001	1982	"Gansu, China"	38.86	99.57		99.57	NA	NA
7	2004	"Qinghai, China"	36.9	98.46		98.46	NA	NA
780441	1978	"Qinghai, China"	34.92	98.26		98.26	NA	NA
F1954001	1954	"Yunnan, China"	25.48	100.56		100.56	NA	NA
C1989001	1989	"Qinghai, China"	32.92	95.3		95.3	NA	NA
9	2004	"Qinghai, China"	33.35	97.12		97.12	NA	NA
91	1987	"Xinjiang, China"	38.09	85.32		85.32	NA	NA
D1991004	1991	"Qinghai, China"	35.03	101.5		101.5	NA	NA
945	1994	"Xinjiang, China"	44.29	85.56		85.56	NA	NA
970754	1997	"Qinghai, China"	32.23	96.47		96.47	NA	NA
CMCC02041	1965	"Qinghai, China"	38.2	100.22		100.22	NA	NA
CMCC03001	1954	"Qinghai, China"	34.75	101.62		101.62	NA	NA
CMCC05009	1961	"Qinghai, China"	35.6	99.99		99.99	NA	NA
CMCC05013	1988	"Qinghai, China"	35.6	99.99		99.99	NA	NA
CMCC10012	1964	"Qinghai, China"	36.89	100.99		100.99	NA	NA
CMCC104003	1989	"Inner Mongolia, China"	43.97	120.05		120.05	NA	NA
CMCC106002	1996	"Inner Mongolia, China"	44.55	120.87		120.87	NA	NA
CMCC107004	2003	"Inner Mongolia, China"	41.9	114		114	NA	NA
CMCC11001	1954	"Qinghai, China"	35.57	100.75		100.75	NA	NA
F1946001	1946	"Fujian, China"	26.58	118.75		118.75	NA	NA
CMCC114001	1952	"Fujian, China"	25.44	119		119	NA	NA
CMCC12003	1961	"Qinghai, China"	37.37	101.62		101.62	NA	NA
I1994006	1994	"Hebei, China"	41.87	114.6		114.6	NA	NA
D1964002	1964	"Qinghai, China"	37.37	101.62		101.62	NA	NA
J1978002	1978	"Ningxia, China"	36.56	105.64		105.64	NA	NA
CMCC125002	1964	"Ningxia, China"	35.97	105.7		105.7	NA	NA
I1969003	1969	"Ningxia, China"	38.1	106.34		106.34	NA	NA
C1975003	1975	"Qinghai, China"	33.03	96.97		96.97	NA	NA
I2001001	2001	"Shaanxi, China"	37.6	107.59		107.59	NA	NA
CMCC18019	2001	"Qinghai, China"	33.35	97.12		97.12	NA	NA
CMCC21106	2001	"Xinjiang, China"	39.7	75.18		75.18	NA	NA
CMCC27002	1991	"Qinghai, China"	35.24	100.63		100.63	NA	NA
CMCC31004	1990	"Tibet, China"	32.29	91.68		91.68	NA	NA
CMCC347001	1996	"Tibet, China"	30.2	91.24		91.24	NA	NA
CMCC348002	1998	"Tibet, China"	29.71	89.02		89.02	NA	NA
CMCC38001	1979	"Xinjiang, China"	39.73	76.12		76.12	NA	NA
A1956001	1956	"Xinjiang, China"	39.7	75.18		75.18	NA	NA
CMCC42007	1967	"Xinjiang, China"	44.45	84.62		84.62	NA	NA
CMCC43032	1980	"Xinjiang, China"	44.18	86.92		86.92	NA	NA
K21985002	1985	"Xinjiang, China"	39	88.1		88.1	NA	NA
K11973002	1973	"Xinjiang, China"	37.12	79.94		79.94	NA	NA
CMCC49003	1976	"Xinjiang, China"	43.82	82.53		82.53	NA	NA
CMCC51020	1954	"Jilin, China"	44.3	123.97		123.97	NA	NA
H1958004	1958	"Jilin, China"	43.87	126.57		126.57	NA	NA
CMCC64001	1957	"Inner Mongolia, China"	45.05	121.47		121.47	NA	NA
CMCC640047	1964	"Qinghai, China"	36.27	100.61		100.61	NA	NA
CMCC67001	1959	"Inner Mongolia, China"	42.97	122.35		122.35	NA	NA
CMCC71001	1961	"Gansu, China"	38.46	94.25		94.25	NA	NA
J1963002	1963	"Gansu, China"	35.72	105.08		105.08	NA	NA
F1984001	1984	"Yunnan, China"	24.69	97.93		97.93	NA	NA
CMCC8211	1982	"Xinjiang, China"	44.67	82.92		82.92	NA	NA
E1977001	1977	"Yunnan, China"	26.53	99.88		99.88	NA	NA
CMCC84033	1979	"Yunnan, China"	26.53	99.88		99.88	NA	NA
CMCC84038	1982	"Yunnan, China"	26.53	99.88		99.88	NA	NA
CMCC84046	1984	"Yunnan, China"	26.53	99.88		99.88	NA	NA
CMCC87001	1982	"Yunnan, China"	24	97.83		97.83	NA	NA
CMCC90027	1970	"Inner Mongolia, China"	43.85	113.7		113.7	NA	NA
CMCC91090	1970	"Inner Mongolia, China"	44.03	114.97		114.97	NA	NA
CMCC92004	1957	"Inner Mongolia, China"	42.47	112.95		112.95	NA	NA
CMCC92010	1971	"Inner Mongolia, China"	42.47	112.95		112.95	NA	NA
CMCC93014	1970	"Inner Mongolia, China"	43.95	116.08		116.08	NA	NA
CMCC95001	1970	"Inner Mongolia, China"	42.32	115		115	NA	NA
CMCC96001	1957	"Inner Mongolia, China"	42.25	116.02		116.02	NA	NA
CMCC96007	1989	"Inner Mongolia, China"	42.25	116.02		116.02	NA	NA
I1970005	1970	"Inner Mongolia, China"	39.12	107.97		107.97	NA	NA
CMCC99103	1970	"Inner Mongolia, China"	39.12	107.97		107.97	NA	NA
CMCCK100001	1991	"Yunnan, China"	24.08	98.08		98.08	NA	NA
CMCCK110001	1991	"Yunnan, China"	23.92	99.02		99.02	NA	NA
CMCCN010025	2000	"Sichuan, China"	33.01	98.06		98.06	NA	NA
EV76-CN	1922 (+LAB PASSAGES)	Madagascar	NA	NA		46.869107	-18.766947	madagascar
G8786	1992	Georgia: Ninotsminda	NA	NA		43.5879386	41.2713699	ninotsminda, georgia
I160001	1987	"Xinjiang, China"	38.09	85.32		85.32	NA	NA
MGJZ11	2000	"Bayan-Olgii, Mongolia"	48.18	89.5		89.5	NA	NA
MGJZ12	2002	"Bayan-Olgii, Mongolia"	48.18	89.5		89.5	NA	NA
MGJZ3	1980	"Govi-Altai, Mongolia"	45.3	95.3		95.3	NA	NA
MGJZ6	1997	"Dornogovi, Mongolia"	43.7	110.28		110.28	NA	NA
MGJZ7	1997	"Dornogovi, Mongolia"	43.7	110.28		110.28	NA	NA
MGJZ9	1998	"Govi-Altai, Mongolia"	45.3	95.3		95.3	NA	NA
