BioSampleAccession	BioSampleBioProjectAccession	BioSampleStrain	BioSampleSRAAccession	BioSampleAccessionSecondary	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost
SAMN02141479	PRJNA64343	PY-56	SRS256199	SAMN00704285	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	dog
SAMN00704285	PRJNA64343	PY-56	SRS256199	SAMN02141479	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	dog
SAMN02141480	PRJNA64345	PY-58	SRS256193	SAMN00704279	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	Norway rat
SAMN00704279	PRJNA64345	PY-58	SRS256193	SAMN02141480	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	Norway rat
SAMN02141481	PRJNA64347	PY-59	SRS256194	SAMN00704280	2010	Peru:Ascope	black rat
SAMN00704280	PRJNA64347	PY-59	SRS256194	SAMN02141481	2010	Peru:Ascope	black rat
SAMN02141482	PRJNA64349	PY-60	SRS256200	SAMN00704286	2010	Peru:Trujillo, El Milagro, Sector 9	Norway rat
SAMN00704286	PRJNA64349	PY-60	SRS256200	SAMN02141482	2010	Peru:Trujillo, El Milagro, Sector 9	Norway rat
SAMN02141483	PRJNA64351	PY-61	SRS256195	SAMN00704281	2010	Peru:Trujillo, El Milagro, Sector 9	Norway rat
SAMN00704281	PRJNA64351	PY-61	SRS256195	SAMN02141483	2010	Peru:Trujillo, El Milagro, Sector 9	Norway rat
SAMN02141484	PRJNA64353	PY-63	SRS256196	SAMN00704282	2010	Peru:Trujillo, Salaverry, ENAPU	Norway rat
SAMN00704282	PRJNA64353	PY-63	SRS256196	SAMN02141484	2010	Peru:Trujillo, Salaverry, ENAPU	Norway rat
SAMN02141485	PRJNA64355	PY-64	SRS256197	SAMN00704283	2010	Peru:Trujillo, Salaverry, ENAPU	Norway rat
SAMN00704283	PRJNA64355	PY-64	SRS256197	SAMN02141485	2010	Peru:Trujillo, Salaverry, ENAPU	Norway rat
SAMN02141486	PRJNA64357	PY-65	SRS256201	SAMN00704287	2010	Peru:Trujillo, Salaverry, ENAPU	Norway rat
SAMN00704287	PRJNA64357	PY-65	SRS256201	SAMN02141486	2010	Peru:Trujillo, Salaverry, ENAPU	Norway rat
SAMN02141487	PRJNA64359	PY-66	SRS256198	SAMN00704284	2010	Peru:Trujillo, Salaverry, ENAPU	Norway rat
SAMN00704284	PRJNA64359	PY-66	SRS256198	SAMN02141487	2010	Peru:Trujillo, Salaverry, ENAPU	Norway rat
SAMN02141488	PRJNA64361	PY-71	SRS256202	SAMN00704288	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	black rat
SAMN00704288	PRJNA64361	PY-71	SRS256202	SAMN02141488	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	black rat
SAMN02141489	PRJNA64363	PY-72	SRS256203	SAMN00704289	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	black rat
SAMN00704289	PRJNA64363	PY-72	SRS256203	SAMN02141489	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	black rat
SAMN02141490	PRJNA64365	PY-76	SRS256204	SAMN00704290	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	cotton rat
SAMN00704290	PRJNA64365	PY-76	SRS256204	SAMN02141490	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	cotton rat
SAMN02141491	PRJNA64367	PY-88	SRS256205	SAMN00704291	2010	Peru:Pacasmayo, Guadalupe, Mariscal Castilla	black rat
SAMN00704291	PRJNA64367	PY-88	SRS256205	SAMN02141491	2010	Peru:Pacasmayo, Guadalupe, Mariscal Castilla	black rat
SAMN02141492	PRJNA64369	PY-89	SRS256206	SAMN00704292	2010	Peru:Pacasmayo, Guadalupe, Mariscal Castilla	Norway rat
SAMN00704292	PRJNA64369	PY-89	SRS256206	SAMN02141492	2010	Peru:Pacasmayo, Guadalupe, Mariscal Castilla	Norway rat
SAMN02141493	PRJNA64371	PY-90	SRS256207	SAMN00704293	2010	Peru:Pacasmayo, Guadalupe, Mariscal Castilla	Norway rat
SAMN00704293	PRJNA64371	PY-90	SRS256207	SAMN02141493	2010	Peru:Pacasmayo, Guadalupe, Mariscal Castilla	Norway rat
SAMN02141494	PRJNA64373	PY-91	SRS256208	SAMN00704294	2010	Peru:Chota	black rat
SAMN00704294	PRJNA64373	PY-91	SRS256208	SAMN02141494	2010	Peru:Chota	black rat
SAMN02141495	PRJNA64375	PY-92	SRS256209	SAMN00704295	2010	Peru:Chota	black rat
SAMN00704295	PRJNA64375	PY-92	SRS256209	SAMN02141495	2010	Peru:Chota	black rat
SAMN02141496	PRJNA64377	PY-93	SRS256215	SAMN00706751	2010	Peru:Chota	black rat
SAMN00706751	PRJNA64377	PY-93	SRS256215	SAMN02141496	2010	Peru:Chota	black rat
SAMN02141497	PRJNA64379	PY-94	SRS256216	SAMN00706752	2010	Peru:Chota	black rat
SAMN00706752	PRJNA64379	PY-94	SRS256216	SAMN02141497	2010	Peru:Chota	black rat
SAMN02141498	PRJNA64381	PY-95	SRS256217	SAMN00706753	2010	Peru:Chota	black rat
SAMN00706753	PRJNA64381	PY-95	SRS256217	SAMN02141498	2010	Peru:Chota	black rat
SAMN02141499	PRJNA64383	PY-96	SRS256218	SAMN00706754	2010	Peru:Ascope, Chicama, Sausal	dog
SAMN00706754	PRJNA64383	PY-96	SRS256218	SAMN02141499	2010	Peru:Ascope, Chicama, Sausal	dog
SAMN02141500	PRJNA64385	PY-98	SRS256219	SAMN00706755	2010	Peru:Ascope	Homo sapiens
SAMN00706755	PRJNA64385	PY-98	SRS256219	SAMN02141500	2010	Peru:Ascope	Homo sapiens
SAMN02141501	PRJNA64387	PY-99	SRS256247	SAMN00706783	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	Norway rat
SAMN00706783	PRJNA64387	PY-99	SRS256247	SAMN02141501	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	Norway rat
