BioSampleAccession	BioSampleBioProjectAccession	BioSampleStrain	BioSampleSRAAccession	BioSampleAccessionSecondary
SAMN02403010	PRJNA47685	71021	SRS116693	SAMN00115164
SAMN00115160	PRJNA47685	71021	SRS116693	SAMN02403011
SAMN02403011	PRJNA47685	710317	SRS116694	SAMN00115160
SAMN00115161	PRJNA47685	710317	SRS116694	SAMN02403012
SAMN02403012	PRJNA47685	7338	SRS116695	SAMN00115161
SAMN00115162	PRJNA47685	7338	SRS116695	SAMN02403013
SAMN02403013	PRJNA47685	735	SRS116677	SAMN00115162
SAMN00115144	PRJNA47685	735	SRS116677	SAMN02403014
SAMN02403014	PRJNA47685	780441	SRS116698	SAMN00115144
SAMN00115165	PRJNA47685	780441	SRS116698	SAMN02403015
SAMN02403015	PRJNA47685	9	SRS116701	SAMN00115165
SAMN00115168	PRJNA47685	9	SRS116701	SAMN02403016
SAMN02403016	PRJNA47685	91	SRS116702	SAMN00115168
SAMN00115169	PRJNA47685	91	SRS116702	SAMN02403016
SAMN02403017	PRJNA47685	945	SRS116704	SAMN00115171
SAMN00115171	PRJNA47685	945	SRS116704	SAMN02403017
SAMN02403018	PRJNA47685	970754	SRS116705	SAMN00115172
SAMN00115172	PRJNA47685	970754	SRS116705	SAMN02403018
SAMN02403019	PRJNA47685	A1956001	SRS116732	SAMN00115199
SAMN00115199	PRJNA47685	A1956001	SRS116732	SAMN02403019
SAMN02403020	PRJNA47685	A1973001	SRS116683	SAMN00115150
SAMN00115150	PRJNA47685	A1973001	SRS116683	SAMN02403020
SAMN02403022	PRJNA47685	C1975003	SRS116723	SAMN00115190
SAMN00115190	PRJNA47685	C1975003	SRS116723	SAMN02403022
SAMN02403023	PRJNA47685	C1976001	SRS116692	SAMN00115159
SAMN00115159	PRJNA47685	C1976001	SRS116692	SAMN02403023
SAMN02403024	PRJNA47685	C1989001	SRS116700	SAMN00115167
SAMN00115167	PRJNA47685	C1989001	SRS116700	SAMN02403024
SAMN02403025	PRJNA47685	CMCC02041	SRS116706	SAMN00115173
SAMN00115173	PRJNA47685	CMCC02041	SRS116706	SAMN02403025
SAMN02403026	PRJNA47685	CMCC03001	SRS116707	SAMN00115174
SAMN00115174	PRJNA47685	CMCC03001	SRS116707	SAMN02403026
SAMN02403027	PRJNA47685	CMCC05009	SRS116708	SAMN00115175
SAMN00115175	PRJNA47685	CMCC05009	SRS116708	SAMN02403027
SAMN02403028	PRJNA47685	CMCC05013	SRS116709	SAMN00115176
SAMN00115176	PRJNA47685	CMCC05013	SRS116709	SAMN02403028
SAMN02403029	PRJNA47685	CMCC10012	SRS116710	SAMN00115177
SAMN00115177	PRJNA47685	CMCC10012	SRS116710	SAMN02403029
SAMN02403030	PRJNA47685	CMCC104003	SRS116711	SAMN00115178
SAMN00115178	PRJNA47685	CMCC104003	SRS116711	SAMN02403030
SAMN02403031	PRJNA47685	CMCC106002	SRS116712	SAMN00115179
SAMN00115179	PRJNA47685	CMCC106002	SRS116712	SAMN02403031
SAMN02403032	PRJNA47685	CMCC107004	SRS116713	SAMN00115180
SAMN00115180	PRJNA47685	CMCC107004	SRS116713	SAMN02403032
SAMN02403033	PRJNA47685	CMCC11001	SRS116714	SAMN00115181
SAMN00115181	PRJNA47685	CMCC11001	SRS116714	SAMN02403033
SAMN02403034	PRJNA47685	CMCC114001	SRS116716	SAMN00115183
SAMN00115183	PRJNA47685	CMCC114001	SRS116716	SAMN02403034
SAMN02403035	PRJNA47685	CMCC12003	SRS116717	SAMN00115184
SAMN00115184	PRJNA47685	CMCC12003	SRS116717	SAMN02403035
SAMN02403036	PRJNA47685	CMCC125002	SRS116721	SAMN00115188
SAMN00115188	PRJNA47685	CMCC125002	SRS116721	SAMN02403036
SAMN02403037	PRJNA47685	CMCC18019	SRS116725	SAMN00115192
SAMN00115192	PRJNA47685	CMCC18019	SRS116725	SAMN02403037
SAMN02403038	PRJNA47685	CMCC21106	SRS116726	SAMN00115193
SAMN00115193	PRJNA47685	CMCC21106	SRS116726	SAMN02403038
SAMN02403039	PRJNA47685	CMCC27002	SRS116727	SAMN00115194
SAMN00115194	PRJNA47685	CMCC27002	SRS116727	SAMN02403039
SAMN02403040	PRJNA47685	CMCC31004	SRS116728	SAMN00115195
SAMN00115195	PRJNA47685	CMCC31004	SRS116728	SAMN02403040
SAMN02403041	PRJNA47685	CMCC347001	SRS116729	SAMN00115196
SAMN00115196	PRJNA47685	CMCC347001	SRS116729	SAMN02403041
SAMN02403042	PRJNA47685	CMCC348002	SRS116730	SAMN00115197
SAMN00115197	PRJNA47685	CMCC348002	SRS116730	SAMN02403042
SAMN02403043	PRJNA47685	CMCC38001	SRS116731	SAMN00115198
SAMN00115198	PRJNA47685	CMCC38001	SRS116731	SAMN02403043
SAMN02403044	PRJNA47685	CMCC42007	SRS116733	SAMN00115200
SAMN00115200	PRJNA47685	CMCC42007	SRS116733	SAMN02403044
SAMN02403045	PRJNA47685	CMCC43032	SRS116734	SAMN00115201
SAMN00115201	PRJNA47685	CMCC43032	SRS116734	SAMN02403045
SAMN02403046	PRJNA47685	CMCC49003	SRS116737	SAMN00115204
SAMN00115204	PRJNA47685	CMCC49003	SRS116737	SAMN02403046
SAMN02403047	PRJNA47685	CMCC51020	SRS116738	SAMN00115205
SAMN00115205	PRJNA47685	CMCC51020	SRS116738	SAMN02403047
SAMN02403048	PRJNA47685	CMCC64001	SRS116740	SAMN00115207
SAMN00115207	PRJNA47685	CMCC64001	SRS116740	SAMN02403048
SAMN02403049	PRJNA47685	CMCC640047	SRS116741	SAMN00115208
SAMN00115208	PRJNA47685	CMCC640047	SRS116741	SAMN02403049
SAMN02403050	PRJNA47685	CMCC67001	SRS116742	SAMN00115209
SAMN00115209	PRJNA47685	CMCC67001	SRS116742	SAMN02403050
SAMN02403051	PRJNA47685	CMCC71001	SRS116743	SAMN00115210
SAMN00115210	PRJNA47685	CMCC71001	SRS116743	SAMN02403051
SAMN02403052	PRJNA47685	CMCC8211	SRS116746	SAMN00115213
SAMN00115213	PRJNA47685	CMCC8211	SRS116746	SAMN02403052
SAMN02403053	PRJNA47685	CMCC84033	SRS116748	SAMN00115215
SAMN00115215	PRJNA47685	CMCC84033	SRS116748	SAMN02403053
SAMN02403054	PRJNA47685	CMCC84038	SRS116749	SAMN00115216
SAMN00115216	PRJNA47685	CMCC84038	SRS116749	SAMN02403054
SAMN02403055	PRJNA47685	CMCC84046	SRS116750	SAMN00115217
SAMN00115217	PRJNA47685	CMCC84046	SRS116750	SAMN02403055
SAMN02403056	PRJNA47685	CMCC87001	SRS116751	SAMN00115218
SAMN00115218	PRJNA47685	CMCC87001	SRS116751	SAMN02403056
SAMN02403057	PRJNA47685	CMCC90027	SRS116752	SAMN00115219
SAMN00115219	PRJNA47685	CMCC90027	SRS116752	SAMN02403057
SAMN02403058	PRJNA47685	CMCC91090	SRS116753	SAMN00115220
SAMN00115220	PRJNA47685	CMCC91090	SRS116753	SAMN02403058
SAMN02403059	PRJNA47685	CMCC92004	SRS116754	SAMN00115221
SAMN00115221	PRJNA47685	CMCC92004	SRS116754	SAMN02403059
SAMN02403060	PRJNA47685	CMCC92010	SRS116755	SAMN00115222
SAMN00115222	PRJNA47685	CMCC92010	SRS116755	SAMN02403060
SAMN02403061	PRJNA47685	CMCC93014	SRS116756	SAMN00115223
SAMN00115223	PRJNA47685	CMCC93014	SRS116756	SAMN02403061
SAMN02403062	PRJNA47685	CMCC95001	SRS116757	SAMN00115224
SAMN00115224	PRJNA47685	CMCC95001	SRS116757	SAMN02403062
SAMN02403063	PRJNA47685	CMCC96001	SRS116758	SAMN00115225
SAMN00115225	PRJNA47685	CMCC96001	SRS116758	SAMN02403063
SAMN02403064	PRJNA47685	CMCC96007	SRS116759	SAMN00115226
SAMN00115226	PRJNA47685	CMCC96007	SRS116759	SAMN02403064
SAMN02403065	PRJNA47685	CMCC99103	SRS116761	SAMN00115228
SAMN00115228	PRJNA47685	CMCC99103	SRS116761	SAMN02403065
SAMN02403066	PRJNA47685	CMCCK100001	SRS116762	SAMN00115229
SAMN00115229	PRJNA47685	CMCCK100001	SRS116762	SAMN02403066
SAMN02403067	PRJNA47685	CMCCK110001	SRS116763	SAMN00115230
SAMN00115230	PRJNA47685	CMCCK110001	SRS116763	SAMN02403067
SAMN02403068	PRJNA47685	CMCCN010025	SRS116764	SAMN00115231
SAMN00115231	PRJNA47685	CMCCN010025	SRS116764	SAMN00115268
SAMN00115232	PRJNA47685	CMCCo10807	SRS116765	SAMN00115232
SAMN02403069	PRJNA47685	D1964001	SRS116691	SAMN00115158
SAMN00115158	PRJNA47685	D1964001	SRS116691	SAMN02403069
SAMN02403070	PRJNA47685	D1964002	SRS116719	SAMN00115186
SAMN00115186	PRJNA47685	D1964002	SRS116719	SAMN02403070
SAMN02403071	PRJNA47685	D1982001	SRS116696	SAMN00115163
SAMN00115163	PRJNA47685	D1982001	SRS116696	SAMN02403071
SAMN02403072	PRJNA47685	D1991004	SRS116703	SAMN00115170
SAMN00115170	PRJNA47685	D1991004	SRS116703	SAMN02403072
SAMN02403073	PRJNA47685	E1977001	SRS116747	SAMN00115214
SAMN00115214	PRJNA47685	E1977001	SRS116747	SAMN02403073
SAMN02403021	PRJNA47685	E1979001	SRS116784	SAMN00115251
SAMN00115251	PRJNA47685	E1979001	SRS116784	SAMN02403021
SAMN00115233	PRJNA47685	EV76-CN	SRS116766	SAMN02403074
SAMN02403074	PRJNA47685	EV76-CN	SRS116766	SAMN00115233
SAMN02403075	PRJNA47685	F1946001	SRS116715	SAMN00115182
SAMN00115182	PRJNA47685	F1946001	SRS116715	SAMN02403075
SAMN02403076	PRJNA47685	F1954001	SRS116699	SAMN00115166
SAMN00115166	PRJNA47685	F1954001	SRS116699	SAMN02403076
SAMN02403077	PRJNA47685	F1984001	SRS116745	SAMN00115212
SAMN00115212	PRJNA47685	F1984001	SRS116745	SAMN02403077
SAMN02403078	PRJNA47685	G1996006	SRS116682	SAMN00115419
SAMN00115149	PRJNA47685	G1996006	SRS116682	SAMN02403078
SAMN02403079	PRJNA47685	G1996010	SRS116681	SAMN00115148
SAMN00115148	PRJNA47685	G1996010	SRS116681	SAMN02403079
SAMN02403080	PRJNA47685	G8786	SRS116767	SAMN00115234
SAMN00115234	PRJNA47685	G8786	SRS116767	SAMN02403080
SAMN02403081	PRJNA47685	H1958004	SRS116739	SAMN00115206
SAMN00115206	PRJNA47685	H1958004	SRS116739	SAMN02403081
SAMN02403082	PRJNA47685	H1959004	SRS116688	SAMN00115155
SAMN00115155	PRJNA47685	H1959004	SRS116688	SAMN02403082
