bioproject_accession	strain	collection_date	geographic_location	foci_number	foci_description	alternate_strain	biovar	sub_biovar	foci	
PRJNA269675	SCPM-O-B-4470	1970	Tajikistan/Uzbekistan				Medievalis	Hissarica	"Gissar Focus #34, Tajikistan, Uzbekistan"	
PRJNA269675	SCPM-O-B-4664	1980	Kyrgyzstan				Medievalis	Talassica	"Talas Focus, #40"	
PRJNA269675	SCPM-O-B-6176	1984	Dagestan	39	Dagestan Highland	C-535	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	"Armenia/Azerbaijan,Georgia"
PRJNA269675	SCPM-O-B-6212	1972	"Sailugem, Mongolia"	M01	"Sailugem, Mongolia"	I-2238				
PRJNA269675	SCPM-O-B-6213	1972	"Sailugem, Mongolia"	M01	"Sailugem, Mongolia"	I-2239	Medievalis	Ulegeica	"Northeast Mongolia, Gobi Desert"	
PRJNA269675	SCPM-O-B-6216	1984	"Zag Baidrag, Mongolia"	M20	"Zag Baidrag, Mongolia"	I-3134		Xilingolensis	Mongolia	
PRJNA269675	SCPM-O-B-6218	1986	"Gurvan Saikhan, Mongolia"	M13	"Gurvan Saikhan, Mongolia"	I-3190				
PRJNA269675	SCPM-O-B-6300	1971	Azerbaijan	7	"Bozchel, Azerbaijan"	C-291	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-6301	1972	"Sailugem, Mongolia"	M01	"Sailugem, Mongolia"	I-2231				
PRJNA269675	SCPM-O-B-6304	1979	Tajikistan/Uzbekistan	34	"Gisa (Tajikistan,Uzbekistan)"	5307-Gis	Medievalis	Hissarica	"Gissar Focus #34, Tajikistan, Uzbekistan"	
PRJNA269675	SCPM-O-B-6536	1976	Armenia/Georgia	4	"Transcaucasian Highlands Leninaken (Armenia, Georgia)"	C-346	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-6540	1989	Armenia/Azerbaijan	5	"Transcaucasian Highlands Pre-Sevan (Armenia, Azerbaijan)"	C-666	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-6757	1968	Armenia/Azerbaijan	7	"Pre-Araks (Armenia, Azerbaijan)"	C-235	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-6904	1984	Dagestan	39	Dagestan Highland	C-537	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-6974	1967	Armenia/Azerbaijan	6	"Transcaucasian Highlands Zanzegur-Karabahk (Armenia, Azerbaijan)"	C-197	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-6983	1969	Armenia/Azerbaijan/Georgia				Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-6984	1969	Armenia/Azerbaijan	6	"Transcaucasian Highlands Zanzegur-Karabahk (Armenia, Azerbaijan)"	C-267	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-6986	1969	Armenia/Azerbaijan/Georgia				Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-6990	1971	"Leninakan, Armenia"	4	"Transcaucasian Highlands Leninaken (Armenia, Georgia)"	C-290	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-6992	1995	Dagestan	39	Dagestan Highland	C-700	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-6994	1998	Dagestan	39	Dagestan Highland	C-739	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-7005	2010	Dagestan	39	Dagestan Highland	C-824	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-7019	1980	Kyrgyzstan	40	Talas (Kyrgyzstan)	A-1804	Medievalis	Talassica	"Talas Focus, #40"	
PRJNA269675	SCPM-O-B-7037	1978	Dagestan	39	Dagestan Highland	C-370	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-7040	1988	Dagestan	39	Dagestan Highland	C-678	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-7042	1996	Dagestan	39	Dagestan Highland	C-712	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-7074	1980	Kyrgyzstan	40	Talas (Kyrgyzstan)	A-1807	Medievalis	Talassica	"Talas Focus, #40"	
PRJNA269675	SCPM-O-B-7075	1961	"Russia, Altai Mountains"	36	Mountain-Altai (Russia)	A-513	Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-B-7111	1997	Dagestan	39	Dagestan Highland	C-746	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-7283	1971	Unknown				Medievalis	Medievalis		
PRJNA269675	SCPM-O-B-7469	1990	"Russia, Altai Mountains"				Medievalis	Altaica	"Mountain-Altai focus, #36"	
