bioproject_accession	strain	collection_date	geographic_location	alternate_name	biovar	foci	Other_1	Other_2
PRJNA269675	SCPM-O-DNA-03	2001	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-04	2001	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-05	2007	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-06	2007	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-07	2007	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-08	2007	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-09	2007	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-10	1977	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-11	1984	Inner Mongolia			Xilingolensis	Mongolia	
PRJNA269675	SCPM-O-DNA-12	1982	Inner Mongolia			Xilingolensis	Mongolia	
PRJNA269675	SCPM-O-DNA-13	1971	UNKNOWN			Microtus		
PRJNA269675	SCPM-O-DNA-14	1983	UNKNOWN			Microtus		
PRJNA269675	SCPM-O-DNA-15	1972						
PRJNA269675	SCPM-O-DNA-16	1974						
PRJNA269675	SCPM-O-DNA-17	1973						
